// Generated using In-game Timecyc Editor 1.8 written by fastman92
// Visit fastman92-site.tk

//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
22 0 32	210 194 182	255 255 255	16 97 171	32 85 124	255 128 0	5 0 0	1 0.4 0.4 200 100 0 3000 315 1	0 0 0	3 3 3	85 85 65 240	127 0 0 0	127 52 9 52	55 220 0 1
//5AM
22 0 32	210 194 182	255 255 255	16 97 171	32 85 124	255 128 0	5 0 0	1 0.4 0.4 200 100 0 3000 315 1	0 0 0	3 3 3	85 85 65 240	127 0 0 0	127 52 9 52	55 220 0 1
//6AM
13 13 22	210 194 182	255 255 255	5 32 117	53 27 16	255 128 0	255 128 0	1.2 0.5 0.2 140 93 0 3000 300 0.8	100 34 25	120 92 88	90 170 170 240	127 17 23 55	127 108 59 31	177 220 0 1
//7AM
22 6 1	210 194 182	255 255 255	0 79 255	136 142 255	255 128 0	255 128 0	2.2 1 0 211 0 149 3000 300 0.5	0 0 0	159 142 106	145 170 170 240	127 31 5 0	127 30 11 5	177 220 0 1
//Midday
22 6 1	210 194 182	255 255 255	0 79 255	136 142 255	255 128 0	255 128 0	2.2 1 0 211 0 149 3000 300 0.5	0 0 0	159 142 106	145 170 170 240	127 31 5 0	127 30 11 5	177 220 0 1
//7PM
22 6 1	210 194 182	255 255 255	0 79 255	136 142 255	255 128 0	255 128 0	2.2 1 0 211 0 149 3000 300 0.5	0 0 0	159 142 106	145 170 170 240	127 31 5 0	127 30 11 5	177 220 0 1
//8PM
22 6 1	210 194 182	255 255 255	0 79 255	136 142 255	255 128 0	255 128 0	2.2 1 0 211 0 149 3000 300 0.5	0 0 0	159 142 106	145 170 170 240	127 31 5 0	127 30 11 5	177 220 0 1
//10PM
